BHK,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Floor_num,Floor_building
1,150,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,3,4
2,900,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,1500,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,1
3,1834,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,15,30
3,1535,Super Area,Chennai,Unfurnished,Bachelors/Family,3,Contact Agent,1,2
1,430,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Agent,2,3
3,850,Carpet Area,Mumbai,Unfurnished,Bachelors,3,Contact Agent,6,7
1,100,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
2,750,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,14,27
1,400,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,4
2,800,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1,3
2,870,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,5,21
2,800,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,6
2,700,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,4,5
3,2210,Super Area,Hyderabad,Semi-Furnished,Family,3,Contact Owner,4,5
2,1000,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Agent,1,2
1,600,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,5,5
2,750,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,1
1,400,Carpet Area,Delhi,Furnished,Bachelors/Family,1,Contact Agent,3,4
2,650,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
3,2770,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,3,22
3,850,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,25,35
3,1200,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,1,2
1,500,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
1,250,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
1,400,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,2,2
1,800,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Agent,1,1
3,1286,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,5,Contact Agent,7,21
1,430,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4,8
2,1050,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,25,42
2,750,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
2,900,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
2,650,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent,8,15
1,300,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,3,3
1,680,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
2,900,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
3,1700,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
2,1100,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,3,3
1,450,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,2
4,5000,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,4,15
1,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,5
2,850,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,9,12
3,2395,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent,14,17
2,650,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner,1,1
1,550,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
2,700,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent,3,7
2,700,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,2,2
2,500,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,4
1,400,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
2,1150,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4,5
4,1526,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,76,78
2,1400,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,1
1,550,Carpet Area,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,1,4
2,700,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
2,1000,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,1050,Super Area,Chennai,Semi-Furnished,Family,2,Contact Agent,4,4
4,2800,Carpet Area,Delhi,Unfurnished,Bachelors,4,Contact Agent,6,10
2,450,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
4,2117,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,4,Contact Owner,20,20
1,250,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
2,600,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,2
1,250,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,11,24
2,722,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,34,48
1,450,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
3,1901,Super Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner,9,11
4,2990,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,3,13
1,200,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Agent,2,4
1,840,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,8,17
2,650,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
3,2061,Super Area,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,1,6
3,1200,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner,4,4
3,3600,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent,3,4
2,1100,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
1,600,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,4
2,1100,Carpet Area,Bangalore,Furnished,Bachelors,2,Contact Owner,3,3
3,2000,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,1,12
2,1350,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,1,2
3,1800,Carpet Area,Hyderabad,Unfurnished,Family,3,Contact Owner,5,5
2,700,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,7,10
3,1675,Super Area,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner,5,12
1,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,5
2,850,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner,1,2
1,500,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,1
2,1200,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,5
1,300,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,4,4
2,755,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,12,31
2,650,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,15,15
1,250,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,1,7
1,550,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
4,4550,Super Area,Bangalore,Semi-Furnished,Family,5,Contact Agent,3,5
1,400,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,10,22
2,1600,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,1,2
1,400,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,2,4
1,450,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,6,10
2,1109,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,3
3,1800,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,2,4
2,84,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,1,4
1,1800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
1,500,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1,1
2,920,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4,4
3,1545,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,4,6
3,1730,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,7,9
2,700,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Owner,5,17
3,1200,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2,4
3,1300,Carpet Area,Delhi,Furnished,Bachelors,3,Contact Agent,1,4
2,1050,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
1,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,5
4,2700,Super Area,Hyderabad,Furnished,Bachelors/Family,4,Contact Owner,11,13
2,550,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,2,4
2,80,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
2,1000,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2,4
2,1350,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2,3
3,1603,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,26,32
3,1300,Carpet Area,Hyderabad,Unfurnished,Bachelors,3,Contact Owner,2,3
2,1000,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,1
1,600,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,2
2,1100,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1,5
2,900,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1,12
3,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,2,3
2,770,Super Area,Chennai,Unfurnished,Family,1,Contact Owner,1,2
3,1200,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
1,220,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
3,1800,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,1,4
1,500,Carpet Area,Chennai,Furnished,Bachelors/Family,1,Contact Agent,7,11
2,900,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,2
3,1400,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,8,17
2,1000,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner,4,10
2,710,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,15,18
1,425,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,11,21
4,3500,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,4,Contact Agent,1,4
2,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
2,920,Carpet Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner,3,5
1,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2,2
3,1900,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,2,5
2,1428,Super Area,Hyderabad,Semi-Furnished,Family,2,Contact Agent,4,8
2,1000,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
5,2800,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,19,33
2,535,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,12,16
2,830,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
4,1600,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,1,3
2,900,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,1400,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,1,4
2,500,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
3,3200,Super Area,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,1,2
2,900,Super Area,Bangalore,Unfurnished,Family,2,Contact Owner,1,1
3,1100,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Agent,5,18
2,150,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,1
2,950,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
1,200,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,0,4
2,950,Carpet Area,Chennai,Unfurnished,Family,2,Contact Owner,1,2
2,1200,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
2,770,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4,14
2,800,Carpet Area,Chennai,Unfurnished,Family,2,Contact Owner,1,1
2,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
1,50,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner,3,4
3,300,Carpet Area,Delhi,Furnished,Bachelors,3,Contact Agent,1,3
3,1150,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,3,4
4,2900,Super Area,Bangalore,Furnished,Bachelors/Family,4,Contact Owner,5,7
3,890,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,11,19
2,750,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
2,100,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,4
1,500,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,2,2
2,895,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,32,46
4,1150,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,1,3
1,500,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
1,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,1
2,600,Super Area,Chennai,Furnished,Bachelors/Family,1,Contact Owner,1,3
1,421,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,3,4
2,900,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2,12
3,1220,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,6,10
2,1000,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2,7
2,600,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2,3
2,110,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,1,1
2,850,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10,23
2,650,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Owner,2,4
2,750,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Owner,1,3
2,900,Super Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,1,5
2,800,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,5
3,1100,Super Area,Mumbai,Unfurnished,Family,2,Contact Owner,21,22
2,751,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,3,3
2,805,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,8,58
2,600,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
3,1110,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,49,55
1,400,Carpet Area,Delhi,Furnished,Bachelors/Family,1,Contact Agent,3,4
2,905,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,16,32
2,750,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,4
3,1300,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,1,4
3,1100,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,1,2
3,1062,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,500,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,0,4
2,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
1,50,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1,4
2,935,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,2,2
3,1700,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,7,9
2,700,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
2,900,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
2,750,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,12,16
2,585,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,5
2,805,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,30,58
3,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,4
1,500,Carpet Area,Mumbai,Furnished,Family,1,Contact Agent,6,8
2,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
1,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,2
2,1000,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
2,680,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,10
2,810,Carpet Area,Chennai,Unfurnished,Bachelors,1,Contact Owner,1,1
1,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
2,770,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,2,12
2,900,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,2
3,1600,Carpet Area,Chennai,Unfurnished,Bachelors/Family,3,Contact Agent,4,4
3,1250,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,15,18
1,281,Carpet Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1,1
2,1500,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,1,2
1,385,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Agent,3,9
2,930,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,5,5
1,500,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
1,450,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,3,3
2,878,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,4
1,505,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,3
2,1000,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,1,1
2,1250,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,3,7
2,400,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,1,4
2,850,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,5,17
2,1000,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,15,23
3,2000,Carpet Area,Delhi,Furnished,Bachelors,3,Contact Agent,2,4
3,1070,Super Area,Chennai,Unfurnished,Family,2,Contact Owner,1,3
3,1618,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,2,4
2,700,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner,2,3
2,1115,Carpet Area,Hyderabad,Unfurnished,Family,2,Contact Owner,3,5
4,2100,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Agent,3,3
1,350,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
1,450,Carpet Area,Chennai,Unfurnished,Bachelors,1,Contact Owner,3,4
2,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,5
1,355,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2,7
2,500,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,5
2,625,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,6,14
2,1000,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
1,450,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4,8
2,800,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,5
2,1250,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,1,3
2,1000,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,8
2,780,Carpet Area,Chennai,Unfurnished,Family,2,Contact Owner,5,14
3,1250,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Owner,2,6
1,650,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,6,10
2,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,4
2,1200,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,2,2
1,450,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,13,20
1,500,Super Area,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,1,4
3,900,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,2,3
2,130,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2,3
3,1800,Carpet Area,Mumbai,Furnished,Bachelors,3,Contact Agent,8,12
1,305,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent,10,24
3,1700,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent,7,11
3,1100,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,6,13
1,515,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,12,42
1,550,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
2,650,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,6,8
2,925,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2,5
1,450,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2,7
1,450,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
2,1144,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent,1,1
2,1300,Super Area,Kolkata,Semi-Furnished,Family,2,Contact Owner,1,1
1,500,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
2,1375,Carpet Area,Chennai,Furnished,Family,1,Contact Owner,1,1
2,1250,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
2,80,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
1,300,Super Area,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,10,31
1,300,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,4
1,800,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
2,700,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,1,7
2,400,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Agent,2,4
3,900,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
2,700,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Agent,4,4
2,1100,Super Area,Hyderabad,Furnished,Family,2,Contact Owner,5,5
2,600,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
2,900,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,850,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,10,31
1,550,Super Area,Mumbai,Unfurnished,Bachelors,2,Contact Owner,5,7
2,1300,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
3,1800,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,1,4
3,1250,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,11,13
1,380,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,3,4
2,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
2,700,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,3,4
2,1280,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Agent,2,12
1,500,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,8,10
4,1649,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,18,29
2,1500,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2,4
3,1800,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,3,4
1,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
2,1066,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,3,4
2,600,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,2,5
2,950,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2,4
4,2500,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent,24,60
2,670,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,20
2,833,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
1,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent,1,2
4,1617,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,15,58
3,1740,Super Area,Mumbai,Furnished,Bachelors/Family,4,Contact Owner,21,22
3,919,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,8,13
2,900,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1,1
3,1900,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,4,5
1,750,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
4,2300,Super Area,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Owner,1,1
2,650,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,2,7
2,660,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
3,1700,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Owner,1,5
2,300,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,3,4
2,1000,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,5
2,900,Carpet Area,Delhi,Furnished,Bachelors/Family,2,Contact Agent,1,4
1,400,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,3,5
